Provider Number;Hospital Name;City;State;County Name;DeathRatesHeartAttack;DeathRatesHeartFailure;DeathRatesPneumonia
10110;BULLOCK COUNTY HOSPITAL;UNION SPRINGS;AL;BULLOCK;;12,3;12,1
10112;BRYAN W WHITFIELD MEM HOSP INC;DEMOPOLIS;AL;MARENGO;;11,7;9,1
10113;MOBILE INFIRMARY;MOBILE;AL;MOBILE;19,3;10,7;12,5
10114;MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM;BESSEMER;AL;JEFFERSON;15,3;11,4;12,1
10118;VAUGHAN REG MED CENTER PARKWAY CAMPUS;SELMA;AL;DALLAS;14,7;12;14
10120;MONROE COUNTY HOSPITAL;MONROEVILLE;AL;MONROE;;13;15,6
10125;LAKELAND COMMUNITY HOSPITAL;HALEYVILLE;AL;WINSTON;;13,6;10,7
10126;TROY REGIONAL MEDICAL CENTER;TROY;AL;PIKE;;11,2;11,1
10128;JACKSON MEDICAL CENTER;JACKSON;AL;CLARKE;;12,3;9,3
10129;NORTH BALDWIN INFIRMARY;BAY MINETTE;AL;BALDWIN;;11,5;14,6
10130;ST VINCENT'S ST CLAIR;PELL CITY;AL;SAINT CLAIR;;10,8;11,4
10131;CRESTWOOD MEDICAL CENTER;HUNTSVILLE;AL;MADISON;13,3;13,8;10,4
10137;COOPER GREEN MERCY HOSPITAL;BIRMINGHAM;AL;JEFFERSON;;;
10138;HILL HOSPITAL OF SUMTER COUNTY;YORK;AL;SUMTER;;;
10139;BROOKWOOD MEDICAL CENTER;BIRMINGHAM;AL;JEFFERSON;16,5;13,5;13
10144;SPRINGHILL MEDICAL CENTER;MOBILE;AL;MOBILE;16;10,4;13,8
10146;JACKSONVILLE MEDICAL CENTER;JACKSONVILLE;AL;CALHOUN;;16,4;19,2
10148;EVERGREEN MEDICAL CENTER;EVERGREEN;AL;CONECUH;;9,1;12
10149;BAPTIST MEDICAL CENTER EAST;MONTGOMERY;AL;MONTGOMERY;14,2;9,6;10,2
01014F;BIRMINGHAM VA MEDICAL CENTER;BIRMINGHAM                    ;AL;JEFFERSON;16,1;10,4;11
10150;L V STABLER MEMORIAL HOSPITAL;GREENVILLE;AL;BUTLER;;11,1;13
10152;INFIRMARY WEST;MOBILE;AL;MOBILE;;12,5;13,1
10157;SHOALS HOSPITAL;MUSCLE SHOALS;AL;COLBERT;;13,6;12,8
10158;RUSSELLVILLE HOSPITAL;RUSSELLVILLE;AL;FRANKLIN;;14,8;11,5
10164;COOSA VALLEY MEDICAL CENTER;SYLACAUGA;AL;TALLADEGA;15,2;11,7;11,4
10168;JACK HUGHSTON MEMORIAL HOSPITAL;PHENIX CITY;AL;RUSSELL;;10,8;10,9
10169;ATMORE COMMUNITY HOSPITAL;ATMORE;AL;ESCAMBIA;;10,8;13
01019F;VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY;MONTGOMERY                    ;AL;MONTGOMERY;;12,2;11,3
01021F;TUSCALOOSA VA MEDICAL CENTER;TUSCALOOSA                    ;AL;TUSCALOOSA;;;
11300;WASHINGTON COUNTY HOSPITAL;CHATOM;AL;WASHINGTON;;;
11302;RED BAY HOSPITAL;RED BAY;AL;FRANKLIN;;12,6;11,6
13301;UNIV OF S AL CHILDREN'S & WOMEN'S HOS;MOBILE;AL;MOBILE;;;
20001;PROVIDENCE ALASKA MEDICAL CENTER;ANCHORAGE;AK;ANCHORAGE;13,4;12,4;10,5
20006;MAT-SU REGIONAL MEDICAL CENTER;PALMER;AK;MATANUSKA SUSITNA;17,7;11,4;12,1
20008;BARTLETT REGIONAL HOSPITAL;JUNEAU;AK;JUNEAU;;11,6;11,6
20012;FAIRBANKS MEMORIAL HOSPITAL;FAIRBANKS;AK;FAIRBANKS NORTH STAR;15,5;15,6;13,4
20017;ALASKA REGIONAL HOSPITAL;ANCHORAGE;AK;ANCHORAGE;14,5;13,4;12,5
20018;YUKON KUSKOKWIM DELTA REG HOSPITAL;BETHEL;AK;BETHEL;;11,2;9,7
20024;CENTRAL PENINSULA GENERAL HOSPITAL;SOLDOTNA;AK;KENAI PENINSULA;;11,6;13,8
20026;ALASKA NATIVE MEDICAL CENTER;ANCHORAGE;AK;ANCHORAGE;15,7;11,6;15,5
20027;MT EDGECUMBE HOSPITAL;SITKA;AK;SITKA;;;14,2
21301;PROVIDENCE VALDEZ MEDICAL CENTER;VALDEZ;AK;VALDEZ CORDOVA;;;
21302;PROVIDENCE SEWARD HOSPITAL;SEWARD;AK;KENAI PENINSULA;;;
21303;SITKA COMMUNITY HOSPITAL;SITKA;AK;SITKA;;;11,5
21306;PROVIDENCE KODIAK ISLAND MEDICAL CTR;KODIAK;AK;KODIAK ISLAND;;;12
21307;CORDOVA COMMUNITY MEDICAL CENTER;CORDOVA;AK;VALDEZ CORDOVA;;;
21308;NORTON SOUND REGIONAL HOSPITAL;NOME;AK;NOME;;;11,6
21311;PEACEHEALTH KETCHIKAN MEDICAL             CENTER;KETCHIKAN;AK;KETCHIKAN GATEWAY;;11,4;11,3
21313;SOUTH PENINSULA HOSPITAL;HOMER;AK;KENAI PENINSULA;;10,8;12,2
30001;MARYVALE HOSPITAL;PHOENIX;AZ;MARICOPA;;11;11,9
30002;BANNER GOOD SAMARITAN MEDICAL CENTER;PHOENIX;AZ;MARICOPA;13,6;8,7;11,1
30006;TUCSON MEDICAL CENTER;TUCSON;AZ;PIMA;14,1;13;11,7
30007;VERDE VALLEY MEDICAL CENTER;COTTONWOOD;AZ;YAVAPAI;20;9,6;13,2
30010;CARONDELET ST  MARYS HOSPITAL;TUCSON;AZ;PIMA;17,2;10,9;10,9
30011;CARONDELET ST JOSEPHS HOSPITAL;TUCSON;AZ;PIMA;16,5;9,7;15
30012;YAVAPAI REGIONAL MEDICAL CENTER;PRESCOTT;AZ;YAVAPAI;14,3;12,7;11,7
30013;YUMA REGIONAL MEDICAL CENTER;YUMA;AZ;YUMA;13,7;13,5;13,8
30014;JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL;PHOENIX;AZ;MARICOPA;14,7;10,6;10
30016;CASA GRANDE REGIONAL MEDICAL CENTER;CASA GRANDE;AZ;PINAL;15,4;12,4;15,1
30022;MARICOPA MEDICAL CENTER;PHOENIX;AZ;MARICOPA;;;
30023;FLAGSTAFF MEDICAL CENTER;FLAGSTAFF;AZ;COCONINO;13,6;12,8;10,2
30024;ST JOSEPH'S HOSPITAL AND MEDICAL CENTER;PHOENIX;AZ;MARICOPA;17;11,1;12,3
30030;PHOENIX BAPTIST HOSPITAL;PHOENIX;AZ;MARICOPA;17,3;12,4;15,3
30033;PAYSON REGIONAL MEDICAL CENTER;PAYSON;AZ;GILA;;10,1;15
30036;CHANDLER REGIONAL MEDICAL CENTER;CHANDLER;AZ;MARICOPA;15,4;10,1;10,5
30037;ST LUKES MEDICAL CENTER;PHOENIX;AZ;MARICOPA;15,5;10,5;12,5
30038;SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER;SCOTTSDALE;AZ;MARICOPA;16,6;10,3;11,6
30043;SIERRA VISTA REGIONAL HEALTH CENTER INC;SIERRA VISTA;AZ;COCHISE;15,8;12,3;11,1
30055;KINGMAN REGIONAL MEDICAL CENTER;KINGMAN;AZ;MOHAVE;15,7;9,5;12,2
30061;BANNER BOSWELL MEDICAL CENTER;SUN CITY;AZ;MARICOPA;14,7;11,8;11,4
30062;SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER;SHOW LOW;AZ;NAVAJO;14,2;11,3;13,5
30064;UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE;TUCSON;AZ;PIMA;14,2;9,5;10,1
30065;BANNER DESERT MEDICAL CENTER;MESA;AZ;MARICOPA;14;10;10,1
30067;LA PAZ REGIONAL HOSPITAL;PARKER;AZ;LA PAZ;14,2;11,3;11,7
30068;MT GRAHAM REGIONAL MEDICAL CENTER;SAFFORD;AZ;GRAHAM;;14;11,9
30069;HAVASU REGIONAL MEDICAL CENTER;LAKE HAVASU CITY;AZ;MOHAVE;19,1;12,3;17,1
30071;FORT DEFIANCE INDIAN HOSPITAL;FORT DEFIANCE;AZ;APACHE;;;12,4
30073;TUBA CITY REGIONAL HEALTH CARE CORPORATION;TUBA CITY;AZ;COCONINO;;11;10,6
30074;SELLS INDIAN HEALTH SERVICE HOSPITAL;SELLS;AZ;PIMA;;;
30077;SAN CARLOS INDIAN HOSPITAL;SAN CARLOS;AZ;GILA;;;
30078;PHOENIX INDIAN MEDICAL CENTER;PHOENIX;AZ;MARICOPA;;;12,6
30083;PARADISE VALLEY HOSPITAL;PHOENIX;AZ;MARICOPA;17,2;13,9;13,9
30084;CHINLE COMPREHENSIVE HEALTH CARE FACILITY;CHINLE;AZ;APACHE;;10,8;10,1
30085;NORTHWEST MEDICAL CENTER;TUCSON;AZ;PIMA;18,3;12,8;12,3
30087;SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER;SCOTTSDALE;AZ;MARICOPA;13,9;9,1;10,4
30088;BANNER BAYWOOD MEDICAL CENTER;MESA;AZ;MARICOPA;16;12,4;9,4
30089;BANNER THUNDERBIRD MEDICAL CENTER;GLENDALE;AZ;MARICOPA;15,9;9;9,1
30092;JOHN C LINCOLN DEER VALLEY HOSPITAL;PHOENIX;AZ;MARICOPA;14,9;11,9;10
30093;BANNER DEL E WEBB MEDICAL CENTER;SUN CITY WEST;AZ;MARICOPA;14,6;12,1;12,2
30094;ARROWHEAD HOSPITAL;GLENDALE;AZ;MARICOPA;15,9;11;12,4
30100;CARONDELET HEART AND VASCULAR INSTITUTE;TUCSON;AZ;PIMA;12,2;9,8;11,5
30101;WESTERN ARIZONA REGIONAL MEDICAL CTR;BULLHEAD CITY;AZ;MOHAVE;14,1;11,1;12,9
30103;MAYO CLINIC HOSPITAL;PHOENIX;AZ;MARICOPA;12;8,9;7,5
30105;BANNER HEART HOSPITAL;MESA;AZ;MARICOPA;12,8;9,7;
30107;ARIZONA SPINE AND JOINT HOSPITAL;MESA;AZ;MARICOPA;;;
30108;SURGICAL SPECIALTY HOSPITAL OF ARIZONA;PHOENIX;AZ;MARICOPA;;;
30110;WEST VALLEY HOSPITAL;GOODYEAR;AZ;MARICOPA;17,1;11,6;12,2
30111;UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE;TUCSON;AZ;PIMA;17;12,4;10,9
30112;ARIZONA ORTHOPEDIC SURGICAL HOSPITAL;CHANDLER;AZ;MARICOPA;;;
30113;WHITERIVER PHS INDIAN HOSPITAL;WHITERIVER;AZ;NAVAJO;;;10,5
30114;ORO VALLEY HOSPITAL;ORO VALLEY;AZ;PIMA;15;12,5;9,1
30115;BANNER ESTRELLA MEDICAL CENTER;PHOENIX;AZ;MARICOPA;15,8;10,8;10,1
30117;VALLEY VIEW MEDICAL CENTER;FORT MOHAVE;AZ;MOHAVE;15,9;11,1;11,6
30118;YAVAPAI REGIONAL MEDICAL CENTER-EAST;PRESCOTT VALLEY;AZ;YAVAPAI;;11,3;14,9
30119;MERCY GILBERT MEDICAL CENTER;GILBERT;AZ;MARICOPA;16,1;10;10
30120;GILBERT HOSPITAL;GILBERT;AZ;MARICOPA;;9,9;9,6
30121;MOUNTAIN VISTA MEDICAL CENTER, LP;MESA;AZ;MARICOPA;18;11,6;9,4
30122;BANNER GATEWAY MEDICAL CENTER;GILBERT;AZ;MARICOPA;14,7;11,7;10,5
30123;SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL;SCOTTSDALE;AZ;MARICOPA;;12,2;11,2
30126;ARIZONA REGIONAL MEDICAL CENTER;MESA;AZ;MARICOPA;18,9;11,6;11,1
30130;BANNER IRONWOOD MEDICAL CENTER;SAN TAN VALLEY;AZ;PINAL;;;
30131;OASIS HOSPITAL;PHOENIX;AZ;MARICOPA;;;
03033F;VA NORTHERN ARIZONA HEALTHCARE SYSTEM;PRESCOTT                      ;AZ;YAVAPAI;;11,8;12,9
31300;WICKENBURG COMMUNITY HOSPITAL;WICKENBURG;AZ;MARICOPA;;10,3;9,9
31301;BENSON HOSPITAL;BENSON;AZ;COCHISE;;;10,2
31302;NORTHERN COCHISE COMMUNITY HOSPITAL;WILLCOX;AZ;COCHISE;;;11,6
31303;SOUTHEAST ARIZONA MEDICAL CENTER;DOUGLAS;AZ;COCHISE;;;10,2
31304;PAGE HOSPITAL;PAGE;AZ;COCONINO;;;
31305;HOPI HEALTH CARE CENTER;POLACCA;AZ;NAVAJO;;;11
31309;SAGE MEMORIAL HOSPITAL;GANADO;AZ;APACHE;;;10,3
31311;LITTLE COLORADO MEDICAL CENTER;WINSLOW;AZ;NAVAJO;;;11,2
31312;COPPER QUEEN COMMUNITY HOSPITAL;BISBEE;AZ;COCHISE;;;12
31313;CARONDELET HOLY CROSS HOSPITAL;NOGALES;AZ;SANTA CRUZ;;;
31314;COBRE VALLEY REGIONAL MEDICAL CENTER;GLOBE;AZ;GILA;14,4;8,9;8,7
31315;WHITE MOUNTAIN REGIONAL MEDICAL CENTER;SPRINGERVILLE;AZ;APACHE;;;10,9
33302;PHOENIX CHILDREN'S HOSPITAL;PHOENIX;AZ;MARICOPA;;;
40001;SILOAM SPRINGS MEMORIAL HOSPITAL;SILOAM SPRINGS;AR;BENTON;15,6;11,8;13,8
40002;JOHNSON REGIONAL MEDICAL CENTER;CLARKSVILLE;AR;JOHNSON;16,9;11,8;13,8
40004;WASHINGTON REGIONAL MED CTR AT NORTH HILLS;FAYETTEVILLE;AR;WASHINGTON;15,2;13,9;13,4
40007;ST VINCENT INFIRMARY MEDICAL CENTER;LITTLE ROCK;AR;PULASKI;16,9;12,8;12
40010;MERCY MEDICAL CENTER;ROGERS;AR;BENTON;14,8;13;13,4
40011;JOHN ED CHAMBERS MEM HOSP, INC;DANVILLE;AR;YELL;17,3;10;12,1
40014;WHITE COUNTY MEDICAL CENTER;SEARCY;AR;WHITE;17,5;13,7;12,5
40015;MENA REGIONAL HEALTH SYSTEM;MENA;AR;POLK;;13,5;13,3
40016;UAMS MEDICAL CENTER;LITTLE ROCK;AR;PULASKI;16,5;12,1;12,6
40017;NORTH ARKANSAS REGIONAL MEDICAL CENTER;HARRISON;AR;BOONE;17,2;11,2;11,8
40018;SUMMIT MEDICAL CENTER;VAN BUREN;AR;CRAWFORD;;14;12,8
40019;FORREST CITY MEDICAL CENTER;FORREST CITY;AR;SAINT FRANCIS;;12,8;15,3
40020;ST BERNARDS MEDICAL CTR;JONESBORO;AR;CRAIGHEAD;17,7;14,6;13,3
40022;NW ARKANSAS HOSPITALS, LLC;SPRINGDALE;AR;WASHINGTON;17,3;11,9;11,5
40026;ST JOSEPHS MERCY HEALTH CENTER INC;HOT SPRINGS;AR;GARLAND;17,4;14,3;11,3
40027;BAXTER REGIONAL MEDICAL CENTER;MOUNTAIN HOME;AR;BAXTER;16,4;14,7;16,1
40029;CONWAY REGIONAL MEDICAL CENTER;CONWAY;AR;FAULKNER;18,9;15,6;14,9
40036;BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK;NORTH LITTLE ROCK;AR;PULASKI;14,4;13,3;10,2
40039;ARKANSAS METHODIST MEDICAL CENTER;PARAGOULD;AR;GREENE;17,1;14,4;11,7
40041;ST MARYS REGIONAL MEDICAL CENTER;RUSSELLVILLE;AR;POPE;18,8;13,1;15,4
40042;CRITTENDEN MEMORIAL HOSPITAL;WEST MEMPHIS;AR;CRITTENDEN;14,4;10,9;12,6
40047;FIVE RIVERS MEDICAL CENTER;POCAHONTAS;AR;RANDOLPH;;14;11,4
40050;OUACHITA COUNTY MEDICAL CENTER;CAMDEN;AR;OUACHITA;;12,5;12,4
40051;DREW MEMORIAL HOSPITAL;MONTICELLO;AR;DREW;;12,9;13,5
40055;SPARKS REGIONAL MEDICAL CENTER;FORT SMITH;AR;SEBASTIAN;16,7;14;12,2
40062;ST EDWARD MERCY MEDICAL CENTER;FORT SMITH;AR;SEBASTIAN;14,9;12,6;12,8
40067;MAGNOLIA HOSPITAL;MAGNOLIA;AR;COLUMBIA;;14,9;12,8
40069;GREAT RIVER MEDICAL CENTER;BLYTHEVILLE;AR;MISSISSIPPI;;14,2;15,2
40071;JEFFERSON REGIONAL MEDICAL CENTER;PINE BLUFF;AR;JEFFERSON;16,8;13,2;11
40072;BAPTIST HEALTH MEDICAL CENTER-STUTTGART;STUTTGART;AR;ARKANSAS;15,7;11;14,2
40074;NORTH METRO MEDICAL CENTER;JACKSONVILLE;AR;PULASKI;17,1;9,6;13,4
40076;HOT SPRING COUNTY MEDICAL CENTER;MALVERN;AR;HOT SPRING;15,8;14,4;11,5
40078;NATIONAL PARK MEDICAL CENTER;HOT SPRINGS;AR;GARLAND;19,1;13,5;13,3
40080;HARRIS HOSPITAL;NEWPORT;AR;JACKSON;17,3;11,3;12,1
40084;SALINE MEMORIAL HOSPITAL;BENTON;AR;SALINE;15,7;14,4;12,2
40085;HELENA REGIONAL MEDICAL CENTER;HELENA;AR;PHILLIPS;;12,1;13,3
40088;MEDICAL CENTER SOUTH ARKANSAS;EL DORADO;AR;UNION;21,9;13,6;14,6
40091;MEDICAL PARK HOSPITAL;HOPE;AR;HEMPSTEAD;17,3;12,7;15,1
04009F;FAYETTEVILLE AR VA MEDICAL CENTER;FAYETTEVILLE                  ;AR;WASHINGTON;17,1;10,2;16,9
04010F;VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR;LITTLE ROCK                   ;AR;PULASKI;14,5;9;12,1
40114;BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK;LITTLE ROCK;AR;PULASKI;14,7;11,1;11
40118;NEA BAPTIST MEMORIAL HOSPITAL;JONESBORO;AR;CRAIGHEAD;14,5;17,2;11,3
40119;WHITE RIVER MEDICAL CENTER;BATESVILLE;AR;INDEPENDENCE;17,6;12,5;12,1
40132;LEO N LEVI NATIONAL ARTHRITIS HOSPITAL;HOT SPRINGS;AR;GARLAND;;;
40134;ARKANSAS HEART HOSPITAL;LITTLE ROCK;AR;PULASKI;11,9;13,3;10,4
40137;ST VINCENT MEDICAL CENTER/NORTH;SHERWOOD;AR;PULASKI;;12,6;11,1
40147;ARKANSAS SURGICAL HOSPITAL;NO LITTLE ROCK;AR;PULASKI;;;
40152;PHYSICIANS' SPECIALTY HOSPITAL;FAYETTEVILLE;AR;WASHINGTON;;;
41300;NORTH LOGAN MERCY HOSPITAL;PARIS;AR;LOGAN;;13,8;11,6
41302;RIVER VALLEY MEDICAL CENTER;DARDANELLE;AR;YELL;;11,9;17,9
41303;MERCY HOSPITAL TURNER MEMORIAL;OZARK;AR;FRANKLIN;;;13
41304;EUREKA SPRINGS HOSPITAL, LLC;EUREKA SPRINGS;AR;CARROLL;;13,7;13,7
41305;MERCY HOSPITAL SCOTT COUNTY;WALDRON;AR;SCOTT;;12,5;13,8
41306;COMMUNITY MEDICAL CENTER IZARD COUNTY;CALICO ROCK;AR;IZARD;;14,8;12,3
41307;CROSSRIDGE COMMUNITY HOSPITAL;WYNNE;AR;CROSS;;11;11,2
41308;MCGEHEE HOSPITAL;MCGEHEE;AR;DESHA;;12,8;15,3
41309;LAWRENCE MEMORIAL HOSPITAL;WALNUT RIDGE;AR;LAWRENCE;;10,9;12,4
41310;STONE COUNTY MEDICAL CENTER;MOUNTAIN VIEW;AR;STONE;;12,1;9,9
41311;HOWARD MEMORIAL HOSPITAL;NASHVILLE;AR;HOWARD;;11,9;16,7
41312;BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS;HEBER SPRINGS;AR;CLEBURNE;;11,5;12
41313;OZARK HEALTH;CLINTON;AR;VAN BUREN;;12,4;13,4
41314;DEWITT HOSPITAL & NURSING HOME, INC;DE WITT;AR;ARKANSAS;;12,5;13
41316;SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER;OSCEOLA;AR;MISSISSIPPI;;12;10,8
41317;DALLAS COUNTY MEDICAL CENTER;FORDYCE;AR;DALLAS;;12,1;15,7
41318;BOONEVILLE COMMUNITY HOSPITAL;BOONEVILLE;AR;LOGAN;;15,7;12,8
41319;DE QUEEN MEDICAL CENTER, INC;DE QUEEN;AR;SEVIER;;13,2;11,6
41320;LITTLE RIVER MEMORIAL HOSPITAL;ASHDOWN;AR;LITTLE RIVER;;10,7;12,3
41321;BAPTIST HEALTH MEDICSL CENTER-ARKADELPHIA;ARKADELPHIA;AR;CLARK;;11,7;12,6
41323;ASHLEY COUNTY MEDICAL CENTER;CROSSETT;AR;ASHLEY;;13,1;14,3
41324;ST VINCENT MORRILTON;MORRILTON;AR;CONWAY;;13,2;15,2
41326;DELTA MEMORIAL HOSPITAL;DUMAS;AR;DESHA;;12,6;11,7
41327;BRADLEY COUNTY MEDICAL CENTER;WARREN;AR;BRADLEY;;12,6;12,7
41328;CHICOT MEMORIAL MEDICAL CENTER;LAKE VILLAGE;AR;CHICOT;;12,3;14
41329;ST JOHN'S HOSPITAL-BERRYVILLE;BERRYVILLE;AR;CARROLL;;11,7;12,4
